1384031182.64 ['  File "uppir_vendor.py", line 409, in <module>\n    main()\n', '  File "uppir_vendor.py", line 375, in main\n    rawmanifestdata = open(_commandlineoptions.manifestfilename).read()\n']
1384031223.38 ready to start servers!
1384031223.39 servers started!
1384035853.64 UPPIRVendor 127.0.0.1 52104 mirrorinfo update 34
1384035856.45 UPPIRVendor 127.0.0.1 52105 mirrorinfo update 34
1384035859.15 UPPIRVendor 127.0.0.1 52106 mirrorinfo update 34
1384035913.64 UPPIRVendor 127.0.0.1 52107 mirrorinfo update 34
1384035916.45 UPPIRVendor 127.0.0.1 52108 mirrorinfo update 34
1384035919.15 UPPIRVendor 127.0.0.1 52109 mirrorinfo update 34
1384035973.64 UPPIRVendor 127.0.0.1 52110 mirrorinfo update 34
1384035976.46 UPPIRVendor 127.0.0.1 52111 mirrorinfo update 34
1384035979.16 UPPIRVendor 127.0.0.1 52112 mirrorinfo update 34
1384036033.65 UPPIRVendor 127.0.0.1 52114 mirrorinfo update 34
1384036036.46 UPPIRVendor 127.0.0.1 52115 mirrorinfo update 34
1384036039.16 UPPIRVendor 127.0.0.1 52116 mirrorinfo update 34
1384036093.65 UPPIRVendor 127.0.0.1 52117 mirrorinfo update 34
1384036096.46 UPPIRVendor 127.0.0.1 52118 mirrorinfo update 34
1384036099.16 UPPIRVendor 127.0.0.1 52119 mirrorinfo update 34
1384036153.65 UPPIRVendor 127.0.0.1 52120 mirrorinfo update 34
1384036156.46 UPPIRVendor 127.0.0.1 52121 mirrorinfo update 34
1384036159.17 UPPIRVendor 127.0.0.1 52122 mirrorinfo update 34
1384036213.66 UPPIRVendor 127.0.0.1 52123 mirrorinfo update 34
1384036216.47 UPPIRVendor 127.0.0.1 52124 mirrorinfo update 34
1384036219.17 UPPIRVendor 127.0.0.1 52125 mirrorinfo update 34
1384036273.67 UPPIRVendor 127.0.0.1 52126 mirrorinfo update 34
1384036276.47 UPPIRVendor 127.0.0.1 52127 mirrorinfo update 34
1384036279.17 UPPIRVendor 127.0.0.1 52128 mirrorinfo update 34
1384036333.67 UPPIRVendor 127.0.0.1 52129 mirrorinfo update 34
1384036336.47 UPPIRVendor 127.0.0.1 52130 mirrorinfo update 34
1384036339.18 UPPIRVendor 127.0.0.1 52131 mirrorinfo update 34
1384036393.68 UPPIRVendor 127.0.0.1 52132 mirrorinfo update 34
1384036396.47 UPPIRVendor 127.0.0.1 52134 mirrorinfo update 34
1384036399.18 UPPIRVendor 127.0.0.1 52135 mirrorinfo update 34
1384036453.68 UPPIRVendor 127.0.0.1 52136 mirrorinfo update 34
1384036456.48 UPPIRVendor 127.0.0.1 52137 mirrorinfo update 34
1384036459.19 UPPIRVendor 127.0.0.1 52138 mirrorinfo update 34
1384036513.68 UPPIRVendor 127.0.0.1 52141 mirrorinfo update 34
1384036516.48 UPPIRVendor 127.0.0.1 52142 mirrorinfo update 34
1384036519.19 UPPIRVendor 127.0.0.1 52143 mirrorinfo update 34
1384036573.68 UPPIRVendor 127.0.0.1 52144 mirrorinfo update 34
1384036576.48 UPPIRVendor 127.0.0.1 52145 mirrorinfo update 34
1384036579.19 UPPIRVendor 127.0.0.1 52146 mirrorinfo update 34
1384036633.69 UPPIRVendor 127.0.0.1 52147 mirrorinfo update 34
1384036636.49 UPPIRVendor 127.0.0.1 52148 mirrorinfo update 34
1384036639.2 UPPIRVendor 127.0.0.1 52149 mirrorinfo update 34
1384036693.69 UPPIRVendor 127.0.0.1 52150 mirrorinfo update 34
1384036696.49 UPPIRVendor 127.0.0.1 52151 mirrorinfo update 34
1384036699.2 UPPIRVendor 127.0.0.1 52152 mirrorinfo update 34
1384036753.69 UPPIRVendor 127.0.0.1 52153 mirrorinfo update 34
1384036756.49 UPPIRVendor 127.0.0.1 52154 mirrorinfo update 34
1384036759.2 UPPIRVendor 127.0.0.1 52155 mirrorinfo update 34
1384036813.69 UPPIRVendor 127.0.0.1 52156 mirrorinfo update 34
1384036816.5 UPPIRVendor 127.0.0.1 52157 mirrorinfo update 34
1384036819.2 UPPIRVendor 127.0.0.1 52158 mirrorinfo update 34
1384036873.7 UPPIRVendor 127.0.0.1 52159 mirrorinfo update 34
1384036876.5 UPPIRVendor 127.0.0.1 52160 mirrorinfo update 34
1384036879.21 UPPIRVendor 127.0.0.1 52161 mirrorinfo update 34
1384036933.7 UPPIRVendor 127.0.0.1 52163 mirrorinfo update 34
1384036936.5 UPPIRVendor 127.0.0.1 52164 mirrorinfo update 34
1384036939.21 UPPIRVendor 127.0.0.1 52165 mirrorinfo update 34
1384036993.7 UPPIRVendor 127.0.0.1 52167 mirrorinfo update 34
1384036996.51 UPPIRVendor 127.0.0.1 52168 mirrorinfo update 34
1384036999.21 UPPIRVendor 127.0.0.1 52169 mirrorinfo update 34
1384037053.71 UPPIRVendor 127.0.0.1 52170 mirrorinfo update 34
1384037056.51 UPPIRVendor 127.0.0.1 52171 mirrorinfo update 34
1384037059.22 UPPIRVendor 127.0.0.1 52172 mirrorinfo update 34
1384037113.71 UPPIRVendor 127.0.0.1 52173 mirrorinfo update 34
1384037116.51 UPPIRVendor 127.0.0.1 52174 mirrorinfo update 34
1384037119.22 UPPIRVendor 127.0.0.1 52175 mirrorinfo update 34
1384037173.71 UPPIRVendor 127.0.0.1 52177 mirrorinfo update 34
1384037176.51 UPPIRVendor 127.0.0.1 52178 mirrorinfo update 34
1384037179.22 UPPIRVendor 127.0.0.1 52179 mirrorinfo update 34
1384037233.71 UPPIRVendor 127.0.0.1 52180 mirrorinfo update 34
1384037236.52 UPPIRVendor 127.0.0.1 52181 mirrorinfo update 34
